_id,production_part_id,pf_sm_height,author,binding_type,bleed,date_receipt,default_imposition,height,imposition,perf,production_page,roll_width,rtl,s_number,s_number_waste,security_label,self_cover,shrinkwrap,source,status,thickness,three_hole_drill,title,unit_price,version,weight,width,part_id,qty_delivered,quantity_max,quantity_min,qty_produced,qty_requested,client_id,order_id,duration,length,split,job_id,text_color,text_paper_type,default_dpi,unit,expected_date,order_num,priority_level,production_note,quantity,reception_date,requester_name,head_and_tail,siren,cover_finish_type,cover_paper_type,double_sided_cover,tab_page_number,trim_size,tab_color,tab_lamination,tab_size,tab_paper_type,case_finish_type,case_paper_type,cover_case_color,back_cover_flat_size,cover_size,cover_color,coil_type,spine_type,tva,publish_date,shipping_date,delivery_date,pb_sm_height,isbn10,label_type,error,file_name,note
697356b2cd0143710a5e6bbc,PX2638,9.346,Chloe Cooper Jones,CASEBOUND,false,2022-06-13T16:10:13.274Z,3,215.89999389648438,3,false,446,457.2,false,2,4303.90234375,false,false,false,PACER,COMPLETE,20.60300064086914,false,EASY BEAUTY,4.96,1,444.5161437988281,139.6999969482422,8406,0,530,475,0,500,TLG,0,1.4771983623504639,8863.1904296875,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2022-07-21T00:00:00.000Z,20029623, NORMAL," MT_Please remove PNL data, and send proofs to Kam.",500,2022-06-13T16:10:13.274Z,kamaras,Black & White,TLG,LGLOSS,100_GlossText,false,,,,,,,,,,,,4/C,,Round,,,,,,,,,,
697356b2cd0143710a5e6bbe,PX5577,9.346,Wanda E. Brunstetter,CASEBOUND,false,2023-03-03T15:58:44.186Z,1,215.89999389648438,1,false,506,18,false,2,12466.6015625,false,false,false,PACER,INVOICED,28.599000930786133,false,LETTERS OF TRUST,4.6,1,823.1332397460938,139.6999969482422,17777,2363,2500,2280,0,2400,TLG,0,7.9633331298828125,47780,4,0,1,PAP1_75,720,INCH,2023-04-24T00:00:00.000Z,20032399, NORMAL,EZ_done_3/3\nPlease remove PNL data.  Kam will check proofs.,2400,2023-03-03T15:58:44.186Z,kamaras,Black & White,TLG,LGLOSS,100_GlossText,false,,,,,,,,,,0,,4/C,,Round,,2023-03-28T16:46:44.147Z,2023-03-28T16:46:44.147Z,2023-03-28T16:46:44.147Z,,,,,,
697356b2cd0143710a5e6bbf,PX4108,9.346,Paul Cox,CASEBOUND,false,2022-10-25T20:54:30.716Z,3,215.89999389648438,3,false,396,457.2,false,2,3115.201171875,false,false,false,PACER,INVOICED,18.577999114990234,false,GUADALUPE CANYON,4.83,1,637.3400268554688,139.6999969482422,12961,421,430,380,0,400,TLG,0,1.1128758192062378,6677.2548828125,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2022-12-08T00:00:00.000Z,20031030, NORMAL, JG_Please remove PNL data.  Kam will check proofs.,400,2022-10-25T20:54:30.716Z,kamaras,Black & White,TLG,LGLOSS,100_GlossText,false,,,,,,,,,,,,4/C,,Round,,2022-11-07T17:41:59.353Z,2022-11-07T17:41:59.353Z,2022-11-07T17:41:59.353Z,,,,,,
697356b2cd0143710a5e6bc0,PX5825,9.346,Lauren Tarshis,CASEBOUND,false,2023-03-18T21:33:11.057Z,3,215.89999389648438,3,false,188,457.2,false,2,1749.30078125,false,false,false,PACER,INVOICED,10.154000282287598,false,I SURVIVED THE BATTLE,4.16,1,399.12664794921875,139.6999969482422,18377,191,220,190,0,200,TLG,0,0.2627899944782257,1576.739990234375,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2023-05-01T00:00:00.000Z,20032538, NORMAL,"EZ_Trans_3/20\nNo proof review needed.  Please remove existing PNL data, and transfer files when ready. \nCover - PD87901 / CP48618, \nText - PD87902 / CP48623",200,2023-03-18T21:33:11.057Z,kamaras,Black & White,TLG,LGLOSS,100_GlossText,false,,,,,,,,,,0,,4/C,,Round,,2023-03-28T16:46:42.337Z,2023-03-28T16:46:42.337Z,2023-03-28T16:46:42.337Z,,,,,,
697356b2cd0143710a5e6bc1,PX2747,9.346,Jeff Kinney,CASEBOUND,false,2023-04-20T19:24:16.615Z,3,215.89999389648438,3,false,230,457.2,false,2,2604.701171875,false,false,false,PACER,INVOICED,11.854999542236328,false,THE DEEP END,4.52,1,229.5269317626953,139.6999969482422,19098,206,220,190,0,200,TLG,0,0.306588351726532,1839.530029296875,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2023-05-29T00:00:00.000Z,20032826, NORMAL, ,200,2023-04-20T19:24:16.615Z,kamaras,Black & White,TLG,LMATT_sf,100_GlossText,false,,,,,,,,,,,,4/C,,Round,,2023-05-03T19:25:33.338Z,2023-05-03T19:25:33.338Z,2023-05-03T19:25:33.338Z,,,,,,
697356b2cd0143710a5e6bc3,PX4488,9.346,Preston Lewis,CASEBOUND,false,2022-11-17T18:50:08.229Z,3,215.89999389648438,3,false,420,457.2,false,2,3304,false,false,false,PACER,INVOICED,19.549999237060547,false,THE FLEECING OF FORT GRIFFIN,4.47,1,661.2277221679688,139.6999969482422,13926,733,775,713,0,750,TLG,0,2.1600542068481445,12960.3251953125,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2023-01-07T00:00:00.000Z,20031297, NORMAL,SF - Please remove PNL data.  Kam will check proofs.,750,2022-11-17T18:50:08.229Z,kamaras,,TLG,LGLOSS,100_GlossText,false,,0,,,,,,,,0,,4/C,,,,2022-11-29T20:22:10.765Z,2022-11-29T20:22:10.765Z,2022-11-29T20:22:10.765Z,,,,,,
697356b2cd0143710a5e6bc6,PX4852,11.72,Biagi,PERFECT,false,2022-12-28T17:34:06.533Z,2,276.2250061035156,2,false,432,457.2,false,1,3767.3984375,false,false,false,PACER,INVOICED,16.324800491333008,false,Media/Impact,8.136,1,948.6458740234375,215.89999389648438,15267,419,440,380,0,400,CLM,0,2.3698620796203613,14219.171875,0,0,4,FSC_MC_CVG_SilkHO_1.0_70,720,INCH,2023-01-13T00:00:00.000Z,15389314, NORMAL,MT__Please remove PNL data.  Wafa will check proofs. Cover: Layflat Matte Film Lam +\nSpot Gloss UV,400,2022-12-28T17:34:06.533Z,wafat,,CLM,LMATTE,10pt_C1S,true,,0,,,,,,,,0,L,4/4,,,,2023-01-11T20:03:38.275Z,2023-01-11T20:03:38.275Z,2023-01-11T20:03:38.275Z,11.88,,,,,
697356b2cd0143710a5e6bc8,PX3791,9.346,Louise Penny,CASEBOUND,false,2022-09-23T14:36:05.692Z,3,215.89999389648438,3,false,652,457.2,false,2,5669.80078125,false,false,false,PACER,COMPLETE,28.945999145507812,false,BURY YOUR DEAD,8.1,1,892.1420288085938,139.6999969482422,11731,0,225,190,0,200,TLG,0,0.9406687617301941,5644.0126953125,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2022-10-27T00:00:00.000Z,20030655, NORMAL,"EZ_Transfering_9/23/22\nNo proof review needed.  \nPlease remove existing PNL data, and transfer files when ready.  \nExisting Part - PX613",200,2022-09-23T14:36:05.692Z,kamaras,Black & White,TLG,LGLOSS,100_GlossText,false,,,,,,,,,,,,4/C,,Round,,,,,,,,,,
697356b2cd0143710a5e6bc9,PX3820,9.346,Tom Vitale,CASEBOUND,false,2022-10-26T14:01:58.057Z,3,215.89999389648438,3,false,526,457.2,false,2,4153.6015625,false,false,false,PACER,INVOICED,23.843000411987305,false,IN THE WEEDS,7.03,1,766.7316284179688,139.6999969482422,11833,220,225,190,0,200,TLG,0,0.7614937424659729,4568.96240234375,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2022-10-29T00:00:00.000Z,20030693, NORMAL,"SF - No proof review needed.  Please remove existing PNL data, and transfer files when ready.  Existing Part - PX1831",200,2022-10-26T14:01:58.057Z,kamaras,Black & White,TLG,LGLOSS,100_GlossText,false,,,,,,,,,,,,4/C,,Round,,2022-10-25T17:31:33.626Z,2022-10-25T17:31:33.626Z,2022-10-25T17:31:33.626Z,,,,,,
697356b2cd0143710a5e6bca,PX5514,,Francine Rivers,PERFECT,false,2023-02-23T20:35:33.607Z,1,215.89999389648438,1,false,630,18,false,0,0,false,false,false,PACER,CANCELLED,33.04499816894531,false,THE LADYS MINE PB,5.66,1,746.1565551757812,139.6999969482422,17541,0,525,475,0,500,TLG,0,6.584681510925293,39508.08984375,0,0,1,PAP1_75,720,INCH,2023-04-03T00:00:00.000Z,20032298, NORMAL,EZ_done_2/23\nPlease remove PNL data.  Kam will check proofs.,500,2023-02-23T20:35:33.607Z,kamaras,Black & White,TLG,LGLOSS,10pt_C1S,false,,,,,,,,,,0,M,4/C,,Round,,,,,,,,,,
697356b2cd0143710a5e6bcc,PX4596,,Larson,COILHARD,false,2022-11-30T15:59:57.699Z,2,276.2250061035156,2,false,880,457.2,false,1,7991,false,false,false,PACER,INVOICED,32.03200149536133,false,BIL ID 24 MATH GR5 V1 TE,22.8609,1,2092.004638671875,215.89999389648438,14358,355,375,309,0,325,NGL,0,4.114343643188477,24686.0625,2,0,4,FSC_MC_CVG_SilkHO_1.0_70,720,INCH,2022-12-05T00:00:00.000Z,15387955, NORMAL,EZ_done\nPlease remove PNL data.  Kam will check proofs.,325,2022-11-30T15:59:57.699Z,kamaras,,NGL,LGLOSS,12pt_C1S,false,,0,,,,,Gloss Film,100_GlossText,,8.625,,4/C,Metal,,,2022-12-08T15:37:29.142Z,2022-12-08T15:37:29.142Z,2022-12-08T15:37:29.142Z,11.56,,,,,
697356b2cd0143710a5e6bcd,PX5454,11.72,Hollembeak,PERFECT,false,2023-03-15T18:24:57.829Z,2,276.2250061035156,2,false,624,457.2,false,1,5441.796875,false,false,false,PACER,INVOICED,23.313600540161133,false,Today's Technician Auto Electricity and Electronics,11.185,1,1351.6964111328125,215.89999389648438,18163,290,310,262,0,275,CLM,0,2.4117536544799805,14470.521484375,0,0,4,FSC_MC_CVG_SilkHO_1.0_70,720,INCH,2023-04-07T00:00:00.000Z,15391008, NORMAL, ,275,2023-03-15T18:24:57.829Z,kamaras,,CLM,LGLOSS,10pt_C1S,false,,,,,,,,,,0,L,4/0,,,,2023-03-23T22:45:57.624Z,2023-03-23T22:45:57.624Z,2023-03-23T22:45:57.624Z,,,,,,
697356b2cd0143710a5e6bce,PX3676,11.72,,PERFECT,false,2022-09-14T13:58:53.003Z,2,276.2250061035156,2,false,162,457.2,false,1,1412.775390625,false,false,false,,INVOICED,8.871999740600586,false,ENVMTH20 ASMNT SRCBK GR.2,6.02,1,392.3686828613281,209.5500030517578,11387,1594,1650,1350,0,1500,SAV,0,3.2914748191833496,19748.849609375,2,0,1,FSC_MC_DOM_VJT_1.21_75_BW,720,INCH,2022-09-16T00:00:00.000Z,0412053865, NORMAL,"JG_Please change ""Printed in the United States"" to ""Printed in Mexico"" (do not remove it).  Please update the print line, and print year.  Do not remove the ISBNs and PNL information.  Kam will check proofs. \n\nSF -  there is no bookmap/ page count in the pdf =162   in pace 176 please check ",1500,2022-09-14T13:58:53.003Z,kamaras,,SAV,LGLOSS,10pt_C1S,false,,0,,,,,,,,0,L,4/C,,,,2022-09-23T16:55:34.260Z,2022-09-23T16:55:34.260Z,2022-09-23T16:55:34.260Z,,0134954033,,,,
697356b2cd0143710a5e6bd5,PX2427,9.346,Rusty Davis,CASEBOUND,false,2022-05-18T18:22:52.813Z,3,215.89999389648438,3,false,312,457.2,false,2,2454.400390625,false,false,false,PACER,COMPLETE,15.175999641418457,false,JUSTICE WARRIOR,4.89,1,0,139.6999969482422,7546,0,355,309,0,325,TLG,0,0.7067458629608154,4240.47509765625,0,0,1,SFI_CVG_UCR_1.8_66,720,INCH,2022-06-14T00:00:00.000Z,20029357, NORMAL," JG_Please remove PNL data, and send proofs to Kam.",325,2022-05-18T18:22:52.813Z,kamaras,Black & White,TLG,LMATT_sf,100_GlossText,false,,,,,,,,,,,,4/C,,Round,,,,,,,,,,
